Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,cytoplasmic pattern recognition receptor signaling pathway in response to virus (GO:0039528),2/10,0.0138517159546727,0.5591893287890588,0,0,13.36716621253406,57.20273138002095,PHB;PHB2
GO_Biological_Process_2021,transition metal ion homeostasis (GO:0055076),3/29,0.015958670570979,0.5880781725312714,0,0,6.180643127364439,25.573974567937302,TF;BDH2;HMOX2
GO_Biological_Process_2021,ketone body metabolic process (GO:1902224),2/11,0.016725284286301,0.5880781725312714,0,0,11.881320012110203,48.60450401405494,ACSS3;BDH2
GO_Biological_Process_2021,positive regulation of cellular extravasation (GO:0002693),2/11,0.016725284286301,0.5880781725312714,0,0,11.881320012110203,48.60450401405494,CD99;ICAM1
GO_Biological_Process_2021,regulation of cation transmembrane transport (GO:1904062),3/30,0.0174943163453238,0.5880781725312714,0,0,5.951426836672739,24.0787542337412,DPP10;CD63;DPP6
GO_Biological_Process_2021,regulation of potassium ion transmembrane transport (GO:1901379),4/54,0.0174755620488942,0.5880781725312714,0,0,4.29172602739726,17.3684084933639,DPP10;CD63;DPP6;FHL1
GO_Biological_Process_2021,synaptic vesicle fusion to presynaptic active zone membrane (GO:0031629),2/12,0.0198281760509926,0.6340180195817403,0,0,10.692643051771118,41.92212509473392,STX1B;STX4
GO_Biological_Process_2021,calcium ion-regulated exocytosis of neurotransmitter (GO:0048791),2/12,0.0198281760509926,0.6340180195817403,0,0,10.692643051771118,41.92212509473392,SYT5;DOC2B
KEGG_2021_Human,Pentose phosphate pathway,3/30,0.0174943163453238,0.6450540265334824,0,0,5.951426836672739,24.0787542337412,PGM2;ALDOA;PGM1
KEGG_2021_Human,Propanoate metabolism,3/34,0.0244338646414197,0.6450540265334824,0,0,5.182443151771549,19.23611586199622,ACSS3;PCCA;PCCB
KEGG_2021_Human,SNARE interactions in vesicular transport,3/33,0.0225792084478379,0.6450540265334824,0,0,5.355464480874317,20.30109725186764,STX1B;STX17;STX4
KEGG_2021_Human,Amino sugar and nucleotide sugar metabolism,4/48,0.0117140643617257,0.6450540265334824,0,0,4.878455790784558,21.69432253082909,GMPPB;NAGK;PGM2;PGM1
GO_Biological_Process_2021,endosome to lysosome transport via multivesicular body sorting pathway (GO:0032510),1/7,0.1222343370785103,0.7034417422741066,0,0,8.888134057971014,18.681215981665996,UBXN6
GO_Biological_Process_2021,regulation of potassium ion export across plasma membrane (GO:1903764),1/7,0.1222343370785103,0.7034417422741066,0,0,8.888134057971014,18.681215981665996,ANO6
